"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"730751590911483905","","","2016-05-12 13:28:50 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @shinjuku_rengou: 学科連合委員会新宿支部は、5月14日のプレ八王子祭で綿菓子を販売します！

時間は12:50〜16:00、
値段は100円〜150円
を予定しています！

3種類の味から選べるので、ぜひ食べてみてください！","730608977394814979","1324010234","2016-05-12 04:02:08 +0000",""
"730389638284615680","","","2016-05-11 13:30:34 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","井上が、サボりだと認定するかどうか。
井上に、どのような罰を与えるか。","","","",""
"729932453314371585","","","2016-05-10 07:13:53 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","りくろーおじさんと、551もってるから、あの人は大阪に関連ある人確定かな","","","",""
"729927320639668224","","","2016-05-10 06:53:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GAS書けない","","","",""
"729551836714164225","","","2016-05-09 06:01:26 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","留年生は戒めとして、歩け歩け 出ればいい","","","",""
"729551212824035328","","","2016-05-09 05:58:58 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ベーグル 買えて、テンション高め","","","",""
"729550293860372484","","","2016-05-09 05:55:19 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","そろそろ のもの に向かう準備するか","","","",""
"729435485685190656","","","2016-05-08 22:19:06 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","電車が混んでる","","","",""
"729210411724120064","","","2016-05-08 07:24:44 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","同世代の人の技術量に勝てる気が1aもしない。","","","",""
"729198062837469184","","","2016-05-08 06:35:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","R事故。","","","",""
"728777776178679808","","","2016-05-07 02:45:36 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","次の連休は、どこか行くか。
航空券取れるかな。。","","","",""
"728548855059357696","","","2016-05-06 11:35:57 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","新八SA なかなか面白い。","","","",""
"728514429835313152","","","2016-05-06 09:19:09 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","プライオリティが…","","","",""
"727865391968440323","","","2016-05-04 14:20:07 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","態度が反省してない。","","","",""
"727837131448590336","","","2016-05-04 12:27:49 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","よし、今日は井上倒せた。
勝った‼","","","",""
"727360504461561856","","","2016-05-03 04:53:52 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","今週の目標。
井上を倒す。","","","",""
"727350033671065600","","","2016-05-03 04:12:16 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","井上が、アトリウムの階段に座ってるのを見ると、
""偉くなったもんだなぁ～""
って思う。","","","",""
"727344335943921665","","","2016-05-03 03:49:37 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","セミナー悲しいなぁー","","","",""
"727301146956591104","","","2016-05-03 00:58:00 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Drupal とか初耳だわ","","","",""
"727290467704934400","","","2016-05-03 00:15:34 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","今日、休みじゃないのは、
ラムダ のせいなのか。","","","",""
"727270247921668096","","","2016-05-02 22:55:13 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","エバンジェリスト 強い。","","","",""
"727267415340388352","","","2016-05-02 22:43:58 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","いや、休日ダイヤ だった。","","","",""
"727267360344698881","","","2016-05-02 22:43:45 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","平日ダイヤ なのか。","","","",""
"727110586589306881","","","2016-05-02 12:20:47 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Linux で書いた Texが、windows だと配置がずれて困ってる。","","","",""
"726905158337097728","","","2016-05-01 22:44:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GWは電車空いてるからいい。","","","",""
"726750484908806147","","","2016-05-01 12:29:52 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","なんとかSQLデータベース立てれた。
ん〜、セミナー課題終わってないんだよな。。","","","",""
"726290745276010497","","","2016-04-30 06:03:02 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Winのbash強化実装早まらないかな。","","","",""
"726038850271760384","","","2016-04-29 13:22:05 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ayatokura: 全国から集まったAzure体験会に参加している学生さんにクラウド説明をする @T_Miyake サン。 https://t.co/EhncrHaUuO","725920346566610944","214319571","2016-04-29 05:31:12 +0000","http://twitter.com/ayatokura/status/725920346566610944/photo/1,http://twitter.com/ayatokura/status/725920346566610944/photo/1"
"726036308271849473","","","2016-04-29 13:11:59 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","結果 Azure 楽しかった
さて、データ解析やる。","","","",""
"725906158213439488","","","2016-04-29 04:34:49 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","行くか。 https://t.co/dcSsGrYsFH","","","","http://twitter.com/atkdmw/status/725906158213439488/photo/1"
"725892716400271360","","","2016-04-29 03:41:24 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","マファレッタ 食べれるところ募集中。","","","",""
